contentId,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-4503975842879662368,Google Ranking Factors: The Complete List,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Livro: Retrospectivas Divertidas,Stop saying learning to code is easy.,A minha viagem à Maternidade #tetodomundo,Introduction to Natural Language Processing - University of Michigan | Coursera
-4487024160266973763,Visa inaugura Co-Creation Center em São Paulo,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,#FinTech is all about human-centred design - Chris Skinner's blog,UX ou UI?,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Assessing Salesforce's platform and ecosystem | ZDNet
-4460374799273064357,"Deep Learning for Chatbots, Part 1 - Introduction","Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Big IT Rising,Usability Heuristics for Bots - Chatbots Magazine,"Google acquires Synergyse, an interactive training service for Google Apps"
-4386371945374980231,Por que o Walmart não é Walmart no Brasil,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Não existe frete grátis!,Cia. Hering sincroniza diferentes marcas em um único portal de compras,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Como o e-commerce brasileiro pode, enfim, começar a lucrar"
-4358357193736101128,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Google Cloud Goes to the Farm,The Drive to Bank on Digital,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,Aplicação de visão computacional com OpenCV,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO
-4338308747999225618,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Changing change management,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,An operating model for company-wide agile development,An operating model for company-wide agile development,Why the customer experience matters
-4336877432539963613,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,1º Congresso Brasileiro de IoT - Embarcados,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Uma arquitetura de referência para a Internet das Coisas - Parte 1
-4333957157636611418,Why Programmers Want Private Offices,The hardest thing in computer science,Things you probably didn't know you could do with Chrome's Developer Console,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,My favorite people and resources to learn Android programming from,Micro Profile JavaEE com Wildfly Swarm
-4333056764244640444,Lentes de contato inteligentes serão o wearable definitivo,Peças Translúcidas,How to finish 3D printed PLA objects,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Front in BH 2016
-4278025512576376201,#Sentaquelávemtextão,Workplace diversity in Brazil: there's still a long way to go,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",O dia em que tive mais medo de estar errada.,As expectativas das mulheres da Geração Y são muitas,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC"
-4233177915193302509,Governo brasileiro cria manual para contratação de cloud,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Mobile marketing statistics 2016,Can Accenture Take Over Advertising?,Latin America's chronic inefficiency could drive more O2O commerce growth,The rise of APIs
-4228415104574264137,Up your app's sharing game with DirectShare - Google Developers,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Ordering coffee in Italy: the 10 commandments,This Super Accurate Portrait Selection Tech Uses Neural Networks,Lists are the new search,The barbell effect of machine learning.
-4216050818952952471,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Seria Stranger Things uma obra de arte do algoritmo da Netflix?,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Designing smart notifications,Machine Learning and the VP Debate,Google's Cloud Machine Learning service is now in public beta
-4205346868684833897,"Google launches Springboard, an AI-powered assistant for its enterprise customers",Artificial intelligence produces realistic sounds that fool humans,Google's Cloud Machine Learning service is now in public beta,"Google acquires Synergyse, an interactive training service for Google Apps",Google researchers teach AIs to see the important parts of images - and tell you about them,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
-4158297476631283435,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,Design Sprint: onde o design e a velocidade importam,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,Inbox by Gmail ganha formatação de texto | Google Discovery,4 Reasons Managers Should Spend More Time on Coaching
-4145260601063545880,Why Learning Angular 2 Was Excruciating,Things you probably didn't know you could do with Chrome's Developer Console,On DRY and the cost of wrongful abstractions,Standing on the Shoulders of Giants - Built to Adapt,"Don't Start Big, Start a Little Snowball","A whole new GitHub Universe: announcing new tools, forums, and features"
-4133169317019898816,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Sam Newman - Backends For Frontends,4 Reasons Managers Should Spend More Time on Coaching,Ordering coffee in Italy: the 10 commandments,Up your app's sharing game with DirectShare - Google Developers,This Super Accurate Portrait Selection Tech Uses Neural Networks
-4132331404553626868,Gartner Reprint,Google segue Microsoft e lança ferramenta analítica grátis,Transfer Style But Not Color,Blaise Agüera y Arcas: How computers are learning to be creative,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The Internet of Things is looking for its VisiCalc
-4089455027188314262,Python Is Not Java (dirtSimple.org),Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,"Bots, Messenger and the future of customer service",Assista a entrevista de Linus Torvalds no TED legendada,Firebase and Google Cloud: better together,Diane Greene wants to put the enterprise front and center of Google Cloud strategy
-4084394822880420062,Android Studio 2.2,The technology behind preview photos,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Advanced Android Espresso,On DRY and the cost of wrongful abstractions,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs
-4070599188332885701,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Alecrim/AlecrimCoreData,Notes on Reactive Programming Part I: The Reactive Landscape,Apple Releases First Preview of Swift 3.0 for Developers,Cracking the Job Interview with TensorFlow,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
-4050006690189978332,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",An overview of web service solutions in Drupal 8,6 reasons why I like KeystoneML,Transfer Style But Not Color,Algorithms and architecture for job recommendations
-4037032837327175755,Blaise Agüera y Arcas: How computers are learning to be creative,Transfer Style But Not Color,"Hello, TensorFlow!",Google's Cloud Machine Learning service is now in public beta,Google researchers teach AIs to see the important parts of images - and tell you about them,The return of the machinery question
-4029704725707465084,Former Google career coach shares a visual trick for figuring out what to do with your life,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Cinco competências comportamentais para você ser um bom líder,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",Digital Health Coaching
-4027027091658759481,How I sped up the initial render of my Polymer app by 86%,Google's Cloud Machine Learning service is now in public beta,"Secret's founder returns with Bold, a Medium for enterprise",Acesse a versão Material Design do YouTube | Google Discovery,Machine Learning and the VP Debate,Text summarization with TensorFlow
-4024778022934140027,Using behavioral data to improve customer satisfaction,The Netflix Tech Blog: Netflix Billing Migration to AWS,What to Inspect When You are Inspecting!,Docker 1.12: Now with Built-in Orchestration!,Google is testing a new Material Design layout for desktop searches,Stop saying learning to code is easy.
-3959242148361340089,Gartner Reprint,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Elasticsearch: CSV exporter for Kibana Discover,Conselho da SABMiller aceita proposta de compra da AB InBev,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online"
-3954182109690207118,Google Cloud Goes to the Farm,Here's proof that Google is getting serious about battling Facebook in a key area,Evernote anuncia integração com Google Drive | Google Discovery,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Jury finds Google's implementation of Java in Android was fair use
-3944300307678659798,DBA BRASIL no INTEROPMIX 2016,My favorite people and resources to learn Android programming from,Olli: Artificial Intelligence for the real world of connected commuting,"Don't Start Big, Start a Little Snowball",Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Internet of Things Drives Outcome-Based Business Models
-3912939678517879962,Jury finds Google's implementation of Java in Android was fair use,Google Cloud Goes to the Farm,Algorithms and architecture for job recommendations,Graph Capabilities with the Elastic Stack,"Bots, Messenger and the future of customer service",5 reasons your employees aren't sharing their knowledge
-3900870368325485697,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Rewiring Citi for the digital age,Two Different Sales Motions . . . .,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce","Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Meet the new Brazilian consumer
-3875881534863988868,Visa lança desafio para startups de tecnologia - Startupi,The Drive to Bank on Digital,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Nubank e Goldman fecham parceria de R$ 200 milhões,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Abrimos uma conta no Original.
-3864069617285644895,How to finish 3D printed PLA objects,Peças Translúcidas,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Android Developers Summer Reading List,Lentes de contato inteligentes serão o wearable definitivo,19 Tips For Everyday Git Use
-3850803681204406658,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Abrimos uma conta no Original.,Bradesco vai lançar novo banco digital: o Next.,Bradesco lança serviço inédito para estimular o hábito de poupar,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games
-3780822597455574960,Top Programming Languages Trends: The Rise of Big Data,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Introducing New Relic Infrastructure,Prisma for Android is now live for all in the Google Play Store,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Berners-Lee quer criar outra Web
-3750879736572068916,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The rise of APIs,Governo brasileiro cria manual para contratação de cloud,Mobile marketing statistics 2016,Top 10 Intranet Trends of 2016,You won't recognize the new world of digital payments without this report
-3723217532224917485,11 Internet of Things (IoT) Protocols You Need to Know About,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,1º Congresso Brasileiro de IoT - Embarcados,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,Bose's New Speaker Only Costs $150 But You Have to Build It Yourself,One Dollar Board: Um projeto brasileiro para revolucionar a educação
-3716447017462787559,Squads não-suicidas - Hipsters #08,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,"Don't Start Big, Start a Little Snowball",Olli: Artificial Intelligence for the real world of connected commuting,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy"
-3700095596785790870,How to Design a Walkthrough That Users Will Read,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Usability Heuristics for Bots - Chatbots Magazine,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Accidental discovery could help batteries last years longer,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket
-3678789633202302491,Do You Suffer From Deployment Anxiety? - DZone DevOps,"DevOps security requires new mindset and tools for visibility, automation",Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Building Flipkart Lite: A Progressive Web App
-3675009040647936899,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Sam Newman - Backends For Frontends,What Color is Your Function?,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Serverless real-time architecture on AWS: there is a way !,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade
-3666646454167334466,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Calm down: Google's use of Material Design on iOS is fine,"Autofill: What web devs should know, but don't",Cubr,Chrome OS now has Material Design for the desktop,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog
-3662111110237135231,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,"Deep Learning for Chatbots, Part 1 - Introduction",WeChat's competitor to Slack has arrived,An overview of web service solutions in Drupal 8,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic"
-3605608255586388018,"GitHub broke my 1,000 day streak - Free Code Camp","DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Programming by poking: why MIT stopped teaching SICP,What is WebAssembly? The Dawn of a New Era - JavaScript Scene,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure",Microsoft's Open Source Love Affair Reaches New Heights
-3581194288660477595,The End Of Apple Man,"Apple's new file manager, APFS, is awesome",Why porting an iOS design to Android will not work,Dark Scrum,Alecrim/AlecrimCoreData,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption"
-3552937095886146934,The Netflix Tech Blog: Netflix Billing Migration to AWS,Docker 1.12: Now with Built-in Orchestration!,What to Inspect When You are Inspecting!,Google is testing a new Material Design layout for desktop searches,Using behavioral data to improve customer satisfaction,Stop saying learning to code is easy.
-3482581255202910790,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Microservices testing,Communication patterns in a Microservice world,bliki: StranglerApplication,Kotlin no Backend (Parte 2) :: Concrete Solutions
-3469502952547705884,AEM 6.1 Package Manager Metadata Files,Multi-Channel Marketing in 2015 - It's not rocket science.,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Why Is Learning Drupal Hard?,Piloto de caça criado por inteligência artificial vence humano em combate simulado,Why the customer experience matters
-3400154175330058574,Skill swarms - a new way to share expertise and work smarter together - Skillhive,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Will blockchain drive the fourth Industrial Revolution?,The AI business landscape,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Machine Learning Is Redefining The Enterprise In 2016
-3363563881552061188,Do you want Crappy Agile?,An operating model for company-wide agile development,The sales secrets of high-growth companies,A step-by-step guide to agile growth experiments,An operating model for company-wide agile development,Nintendo has doubled in value since Pokémon Go's release
-3351656282247453586,Microsoft expands its support for Docker containers,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Docker 1.12: Now with Built-in Orchestration!,What to Inspect When You are Inspecting!,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",The next wave in software is open adoption software
-3351652027149912881,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow","The ""Joel Test"" for Data Science",6 reasons why I like KeystoneML,Scala is the new golden child,AI Is Here to Help You Write Emails People Will Actually Read,Introduction to Natural Language Processing - University of Michigan | Coursera
-3348652277274905234,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Google lança experimentos com inteligência artificial | Google Discovery,Blaise Agüera y Arcas: How computers are learning to be creative,Machine Learning and the VP Debate,Google researchers teach AIs to see the important parts of images - and tell you about them,Transfer Style But Not Color
-3338916066794638254,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Modelando APIs REST com Swagger,Machine Learning Is No Longer Just for Experts,Duolingo's chatbots help you learn a new language,Chatbots: Are they better without the chat?
-3302834510061927448,Bayer anuncia compra da Monsanto por US$ 66 bilhões,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Nubank começa a testar seu programa de fidelidade - Empresas Tech
-3285397592982852407,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,The return of the machinery question,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Tech in Brazil is booming despite the country's political troubles,Is FinTech Forcing Banking to a Tipping Point?
-3275688295651945765,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Bancos brasileiros fecham 200 agências em 2015 - Home - iG,Measuring email effectiveness in retail banking,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Abrimos uma conta no Original.
-3191013159715472435,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint,Olli: Artificial Intelligence for the real world of connected commuting,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz
-3173020603774823976,Welcome Google Cloud Platform!,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,An overview of web service solutions in Drupal 8,Making open source data more available,Accidental discovery could help batteries last years longer
-3170783292462058942,Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Por que o Walmart não é Walmart no Brasil,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris
-3161714324304758767,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",The barbell effect of machine learning.,Artificial intelligence is changing SEO faster than you think,This Super Accurate Portrait Selection Tech Uses Neural Networks,Lists are the new search,Ordering coffee in Italy: the 10 commandments
-3136683414587095274,Marketplace,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"Google, Amazon and the upcoming battle over AI Assistants",Introduction to Natural Language Processing - University of Michigan | Coursera,Message buttons and the Slack API - Slack Platform Blog,Blaise Agüera y Arcas: How computers are learning to be creative
-3102652803014865472,Conselho da SABMiller aceita proposta de compra da AB InBev,Startups apostam em aplicativos que conectam fretes e caminhoneiros,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Gartner Reprint
-3102446808559723934,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,IoT a favor do relacionamento médico-paciente
-3071732669882279801,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Time to Re-Think Design Thinking,Why image recognition is about to transform business,You won't recognize the new world of digital payments without this report,Five questions boards should ask about IT in a digital world,7 Questions to Ask Before Your Next Digital Transformation
-3058031327323357308,The Java 8 API Design Principles,Micro Profile JavaEE com Wildfly Swarm,Combining Spring Boot and JDBI,Java 9 na prática: Jigsaw,Kotlin no Backend (Parte 2) :: Concrete Solutions,"Kotlin in Production - What works, Whats broken"
-3040610224044779845,Things you probably didn't know you could do with Chrome's Developer Console,Standing on the Shoulders of Giants - Built to Adapt,Google's cloud platform is now a force to be reckoned with,Why Learning Angular 2 Was Excruciating,How it feels to learn Javascript in 2016,Why Programmers Want Private Offices
-3027055440570405664,Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts","Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet","Autofill: What web devs should know, but don't",The barbell effect of machine learning.,Up your app's sharing game with DirectShare - Google Developers
-3020916840917845519,Hype Driven Development,"The Languages, Frameworks and Tools You Should Learn in 2017",How to Design a Walkthrough That Users Will Read,"Bots, Messenger and the future of customer service",Seniority,The Ten Commandments of Egoless Programming
-2948321821574578861,Quando usar paginação e quando usar scroll infinito?,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Multi-Channel Marketing in 2015 - It's not rocket science.,What Color is Your Function?,Vision API - Image Content Analysis,Skill swarms - a new way to share expertise and work smarter together - Skillhive
-2899726011463496555,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Banking Needs a Customer Experience Wake-Up Call,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Starbucks tem mais dinheiro do cliente em cartões do que bancos
-2855910583928922225,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Alecrim/AlecrimCoreData,CSS Containment in Chrome 52 | Web Updates - Google Developers,Notes on Reactive Programming Part I: The Reactive Landscape,This Super Accurate Portrait Selection Tech Uses Neural Networks,Design Patterns: Progressive Disclosure for Mobile Apps
-2828628091730682303,Serverless Architectures,What to Inspect When You are Inspecting!,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Eclipse Foundation Releases Neon,The next wave in software is open adoption software
-2808969983997441543,CSS Containment in Chrome 52 | Web Updates - Google Developers,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Notes on Reactive Programming Part I: The Reactive Landscape,Eclipse Foundation Releases Neon,15 Awesome Sublime Text Plugins For Web Development,"Apple's new file manager, APFS, is awesome"
-2808959554282640221,Java 8 Streams : 10 missing features,Java Garbage Collection Essencial,The Ten Commandments of Egoless Programming,What's the Best Programming Language to Learn in 2017?,Don't document your code. Code your documentation.,Java 8 Streams - A Deeper Approach About Performance Improvement
-2774293088092853604,Message buttons and the Slack API - Slack Platform Blog,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Marketplace,"Autofill: What web devs should know, but don't",Lists are the new search
-2752345899464432864,Design Patterns: Progressive Disclosure for Mobile Apps,Making open source data more available,Alecrim/AlecrimCoreData,Ordering coffee in Italy: the 10 commandments,Cracking the Job Interview with TensorFlow,Notes on Reactive Programming Part I: The Reactive Landscape
-2747266787901704910,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bayer anuncia compra da Monsanto por US$ 66 bilhões,Will blockchain drive the fourth Industrial Revolution?,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada
-2740396993975951758,SOA com microserviços - Sensedia,Building Spring Cloud Microservices That Strangle Legacy Systems,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Microservices testing
-2720012228333470715,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Bradesco lança serviço inédito para estimular o hábito de poupar,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Bradesco vai lançar novo banco digital: o Next.,Accenture amplia atuação no Brasil,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk
-2683134512107439488,Mary Meeker's essential 2016 Internet Trends Report,Making open source data more available,The return of the machinery question,Using Honcho to Create a Multi-Process Docker Container,Design Patterns: Progressive Disclosure for Mobile Apps,Wide & Deep Learning: Better Together with TensorFlow
-2667874153709252756,Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits,Powering a more connected and collaborative enterprise,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,What is WebAssembly? The Dawn of a New Era - JavaScript Scene,The Physical Web
-2584174137395076448,"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",Bradesco vai lançar novo banco digital: o Next.,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",The next wave in software is open adoption software,The brilliant mechanics of Pokémon Go
-2554512494756911972,How enterprise architects can help ensure success with digital transformations,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Using Honcho to Create a Multi-Process Docker Container,You won't recognize the new world of digital payments without this report,The Continuous Delivery Maturity Model,Serverless Architectures
-2549933363319068481,The real reasons you procrastinate - and how to stop,Creating Compound Views on Android,Why Google App Engine rocks: A Google engineer's take,The Importance of Code Reviews,5 reasons your employees aren't sharing their knowledge,Seria Stranger Things uma obra de arte do algoritmo da Netflix?
-2539915991213675511,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Itaú é pioneiro do blockchain,The Drive to Bank on Digital,So you want to sell to banks?,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com
-2504825704002833401,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Facebook is open-sourcing its AI bot-building research,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,bliki: StranglerApplication,"Don't Start Big, Start a Little Snowball",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
-2479936301516183562,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,gotwarlost/istanbul,Progressive Web App - first introduced on Google I/O | airberlin,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",bliki: StranglerApplication
-2447632164766022033,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Top Programming Languages Trends: The Rise of Big Data,Anti-If: The missing patterns,The Broken Window Theory,10 Modern Software Over-Engineering Mistakes,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
-2440247087447106971,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Exploring Java's Hidden Costs,Criando ícones animados no Android,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers
-2402288292108892893,Como testar exceções em Java com o JUnit - Code a Test,"Amazon open-sources its own deep learning software, DSSTNE",Confused by blockchains? Revolution vs Evolution,Communication patterns in a Microservice world,Hype Driven Development,When to make a Git Commit
-2382583983070627054,Artificial intelligence produces realistic sounds that fool humans,Google researchers teach AIs to see the important parts of images - and tell you about them,Blaise Agüera y Arcas: How computers are learning to be creative,Transfer Style But Not Color,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,"Google launches Springboard, an AI-powered assistant for its enterprise customers"
-2358756719610361882,Custo do Erro - Cinco motivos para investir em automação de testes,The Broken Window Theory,Prisma for Android is now live for all in the Google Play Store,BDD Best Practices and Guidelines - Testing Excellence,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Clean Coder Blog
